CURRENCY_DATE;CURRENCY_YEAR;VOLUME;CLOSE_USD;CLOSE_EUR;CLOSE_CLP;CLOSE_BRL;RANK_VOLUME_BY_DAY;SUM_VOLUME_BY_YEAR;SUM_VOLUME_BY_YEAR_MONTH;SUM_VOLUME_BY_MONTH_IN_YEAR;AVG_VOLUME_BY_YEAR;AVG_VOLUME_BY_YEAR_MONTH;RANK_VOLUME_BY_YEAR;RANK_VOLUME_BY_YEAR_MONTH;RANK_VOLUME_BY_MONTH_IN_YEAR
2020-04-07;2020;22940;119.9;110.05501100000001;103045.6699492;626.2615601;220;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-06;2020;18789;116.65;107.99445335000001;99222.60839975;616.70580325;332;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-01;2020;17245;116.0;105.90684;100444.095848;608.9658959999999;372;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-28;2020;0;105.7;97.558986;89284.5566144;581.2335186;675;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-29;2020;16;103.65;95.29425525;86506.26128895002;553.107495;659;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-15;2020;9063;120.2;110.22664540000001;103027.0389816;629.6672192;550;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-17;2020;10691;116.05;106.712617;99025.91898759999;607.4293742;533;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-04-20;2020;5968;113.65;104.60630125000002;97477.6343217;604.2661396000001;565;3078378;204468;204468;12167.501;9736.571;3;30;8
2020-09-15;2020;0;122.2;103.174071;93274.3670846;644.7034932;675;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-22;2020;22525;110.65;94.50782475;86001.37241785;605.4101887;232;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-04;2020;45;134.8;113.8643468;103998.72733760001;714.7775392000001;630;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-02;2020;41;131.5;110.99849250000001;101439.59956850001;702.2889;634;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-24;2020;17432;111.15;95.22053775;87063.5317968;612.42594075;366;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-09;2020;15;129.65;109.82716325;99390.0488712;688.4907670000001;660;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-21;2020;32467;112.0;95.18544;86743.88631999999;606.3793119999999;62;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-14;2020;118;123.55;104.09915285;94553.63005935;651.08379;599;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-03;2020;11;131.6;111.153966;102095.79639840001;696.34824;664;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-25;2020;18236;113.65;97.713997;89568.00959880001;632.0474275;351;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-23;2020;24425;110.5;94.7830325;86554.39142999999;618.126392;190;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-08;2020;17;132.8;112.84029280000001;102654.42231040001;712.0866144;658;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-30;2020;21064;110.95;94.62914405;87106.53533855;622.41851595;277;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-18;2020;3;113.6;95.943152;86711.3244032;612.4521344;672;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-10;2020;0;132.5;112.0598875;102435.61763250001;705.1729499999999;675;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-29;2020;21158;109.55;93.29990074999999;85953.0189546;616.9910775;273;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-11;2020;0;133.35;112.555401;102666.68666519999;709.1158283999999;675;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-17;2020;24;118.1;99.6805335;89897.5985932;618.7615662000001;651;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-01;2020;22;131.9;110.62782750000001;101735.70669440001;712.1018519;653;3078378;179058;179058;12167.501;8526.571;3;33;9
2020-09-28;2020;21447;109.55;93.8043785;85952.7076135;620.239235;264;3078378;179058;179058;12167.501;8526.571;3;33;9
